TIME,Jevois Image Capture Time,Drivetrain L1 Motor Current,Drivetrain Desired Pose Angle,Drivetrain L2 Motor Current,Jevois Target Rotation Angle,Arm Lower Position Limit Switch,Operator Intake Speed Command,Estimated distance to target,Jevois Target Visible,Jevois Frame Count,Back Ultrasonic Distance,Drivetrain Up/Down Acceleration,Driver Fwd-Rev Command,Operator Arm Position Command,Intake Right Sensor Raw Voltage,Drivetrain Actual Pose Angle,Driver SlowMove Command,Pneumatics Compressor Current,Arm Motor Current,Arm Desired Velocity,Arm Upper Position Limit Switch,Driver Compressor Disable Command,Intake Commanded Position,botDesPoseY,Auto Alignment Requested,botDesPoseX,Jevois Framerate,Driver Intake Position Command,botDesPoseT,Pneumatics Main System Pressure,Gripper Stopper Cylinder Command,Operator Auto Align Mid Command,Jevois Packets Per Sec,Jevois Target Angle,Main Loop Call Period,Superstructure Commanded Mode,Driver Gyro Angle Lock Command,Drivetrain Right Motor Command,roboRIO Sys Memory Load,Line Follower Estimated Position,Gripper Main Cylinder Command,Line Follower Measured Position,Intake Left Motor Current,Robot Brownout,Drivetrain Gyro-Lock Rotation Command,botActPoseT,botActPoseX,botActPoseY,Intake Right Motor Current,Battery Current Draw,Driver Compressor Enable Command,Line Follower Estimated Position Available,Driver Rotate Command,Intake Right Motor Actual Position,Intake Left Motor Actual Position,Drivetrain Left/Right Acceleration,Operator Gamepiece Grab Command,Line Follower Measured Position Available,Auto State Sequencer Step,Front Ultrasonic Sensor Voltage,Drivetrain Left Wheel Actual Speed,Drivetrain Left Motor Command,Jevois Target X Position,Battery Voltage,Gripper Retracted Switch,Superstructure Actual Mode,roboRIO JVM Memory Load,Intake Left Arm Position On Target,Arm At Desired Angle,Drivetrain Left Wheel Desired Speed,Climber Release Motor Current,Front Ultrasonic Distance Available,Front Ultrasonic Distance,Arm Actual Velocity,Main Loop Process Duration,Operator Climber Release Command,Back Ultrasonic Sensor Voltage,Arm Actual Position,roboRIO CPU Load,Drivetrain R1 Motor Current,Drivetrain R2 Motor Current,Match Time,Pneumatics Cutoff Switch State,Auto Alignment Failed,Arm Motor Command,Drivetrain Right Wheel Desired Speed,Back Distance Available,Dataserver File Logger Queue Length,Intake Roller Motor Command,Driver Intake Speed Command,Intake Right Arm Position On Target,Operator Auto Align Low Command,Gripper Position Requested,Drivetrain Operation Mode,Drivetrain Fwd/Rev Acceleration,Intake Ball Present,Gripper Position Stable,Robot CAN Bus Utilization,Operator Climber Release Enable Command,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,Operator Auto Align Top Command,Jevois CPU Load,Operator Gamepiece Release Command,Jevois Target Y Position,Arm Desired Position,Intake Left Sensor Raw Voltage,Operator Manual Arm Position Command,Auto Stable Target Found,Superstructure Sequencer Step,Jevois CPU Temp,
sec,sec,A,Deg,A,deg,bool,speed enum,ft,bool,count,ft,g,cmd,Arm Pos Enum,V,Deg,bool,A,A,deg per sec,bool,bool,Intake Pos Enum,in,bool,in,fps,pos enum,deg,psi,bool,bool,pps,rad,sec,OpMode,bool,cmd,Pct,ft,bool,ft,A,bool,cmd,deg,in,in,A,A,bool,bool,cmd,deg,deg,g,bool,bool,step,mV,RPM,cmd,ft,V,bool,OpMode,Pct,bool,bool,RPM,A,true/false,ft,deg per sec,sec,bool,mV,deg,Pct,A,A,sec,bool,bool,cmd,RPM,true/false,count,cmd,speed enum,bool,bool,pos,Op Mode Enum,g,bool,bool,pct,bool,RPM,count,bool,pct,bool,ft,deg,V,cmd,bool,idx,C,
659.466227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042901000000028944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659.538613,,0.125,0.0,0.0,,0.0,0.0,3.9168226181096344,,,0.5460056069553789,0.99609375,0.0,4.0,0.7347904546878842,-0.7904375,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.07238600000005135,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,4.185699522679807,4.6950207111819875,0.05078125,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.9168226181096344,-0.0,0.041181999999935215,0.0,159.912093,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,87.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0234375,0.0,1.0,0.33477136492729187,0.0,0.0,32.0,0.0,,0.0,,100.0,0.3102723943572449,0.0,0.0,-1.0,,
659.603158,,0.125,0.0,0.0,,0.0,0.0,3.9168226181096344,,,0.535325790682413,,0.0,4.0,0.7343564466952271,-0.7866125,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,,,1.0,,,1.0,0.0,,,0.06454499999995278,0.0,0.0,,,-0.33333333,1.0,-0.33333333,,,,,,,,,0.0,1.0,-0.0,4.073025969449622,4.742800498995072,,0.0,1.0,-1.0,1193.847534,0.0,0.0,,,0.0,0.0,,1.0,0.0,0.0,,0.0,3.9168226181096344,-0.0,,0.0,159.912093,-0.0,,0.125,0.25,,,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,,0.0,0.0,,0.0,,0.0,,100.0,0.31008913027400486,0.0,0.0,-1.0,,
659.637978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.34604623158293,,,,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659.603158,,,,,,,,,,,,0.99609375,,,,,,0.65625,,,,,,0.0,,0.0,,,0.0,-11.524707142857144,,,,,,,,0.0,,,,,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,,,,,,0.0546875,,,,,,,,12.9,,,,,,,0.0,,,,0.051816000000030726,,,,,,,-1.0,1.0,,,,,90.0,,,,,,,-0.0234375,,,0.33477136492729187,,,41.0,,,,,,,,,,,
659.672819,,0.125,0.0,0.125,,0.0,0.0,3.9168226181096344,,,0.524645974409447,1.0,0.0,4.0,0.7343256383942347,-0.7852875,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.590762499999999,1.0,0.0,,,0.06966099999999642,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,4.073025969449622,4.742800498995072,0.0625,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.9168226181096344,-0.0,0.05516099999999824,0.0,159.912093,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,37.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.01171875,0.0,1.0,0.33477136492729187,0.0,0.0,32.0,0.0,,0.0,,100.0,0.31018073524614775,0.0,0.0,-1.0,,
659.742136,,0.125,0.0,0.125,,0.0,0.0,3.9168226181096344,,,0.5259809514435679,1.0,0.0,4.0,0.7345733865853259,-0.783325,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.06931699999995544,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,4.241986415322213,4.606579235190898,0.0546875,0.0,1.0,-1.0,1193.847534,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.9168226181096344,-0.0,0.052253000000064276,0.0,161.132796,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,134.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0234375,0.0,1.0,0.33477136492729187,0.0,0.0,24.0,0.0,,0.0,,100.0,0.31018073524614775,0.0,0.0,-1.0,,
659.806116,,0.125,0.0,0.0,,0.0,0.0,3.919492572177876,,,0.5259809514435679,0.99609375,0.0,4.0,0.7341396349040274,-0.7811625000000001,0.0,0.65625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,-11.524707142857144,1.0,0.0,,,0.06398000000001502,0.0,0.0,0.0,,-0.33333333,1.0,-0.33333333,0.0,0.0,0.0,-0.7938125,0.48948191728445595,52.34059529864679,0.0,0.0,0.0,1.0,-0.0,4.185699522679807,4.630428911058447,0.0546875,0.0,1.0,-1.0,1196.2889400000001,0.0,0.0,,12.9,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,3.919492572177876,-0.0,0.04660100000000966,0.0,159.912093,-0.0,,0.125,0.25,-1.0,1.0,0.0,0.0,0.0,1.0,93.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.01953125,0.0,1.0,0.33477136492729187,0.0,0.0,32.0,0.0,,0.0,,100.0,0.30999757939286426,0.0,0.0,-1.0,,
659.870667,,,,,,0.0,0.0,3.919492572177876,,,0.5259809514435679,,0.0,4.0,0.7345733865853259,,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,,,1.0,,,1.0,0.0,,,0.06455100000005132,0.0,0.0,,,-0.33333333,1.0,-0.33333333,,,,,,,,,0.0,1.0,-0.0,4.137404018239018,4.742800498995072,,0.0,1.0,-1.0,1193.847534,,,,,0.0,0.0,,1.0,0.0,,,0.0,3.919492572177876,-0.0,,0.0,159.912093,-0.0,,,,,,0.0,0.0,,1.0,,0.0,0.0,1.0,0.0,1.0,,,0.0,1.0,,0.0,,,0.0,,0.0,,100.0,0.31018073524614775,0.0,0.0,-1.0,,
