TIME,Jevois Image Capture Time,Drivetrain L1 Motor Current,Drivetrain Desired Pose Angle,Drivetrain L2 Motor Current,Jevois Target Rotation Angle,Arm Lower Position Limit Switch,Operator Intake Speed Command,Estimated distance to target,Jevois Target Visible,Jevois Frame Count,Back Ultrasonic Distance,Drivetrain Up/Down Acceleration,Driver Fwd-Rev Command,Operator Arm Position Command,Intake Right Sensor Raw Voltage,Drivetrain Actual Pose Angle,Driver SlowMove Command,Pneumatics Compressor Current,Arm Motor Current,Arm Desired Velocity,Arm Upper Position Limit Switch,Driver Compressor Disable Command,Intake Commanded Position,botDesPoseY,botDesPoseX,Jevois Framerate,Driver Intake Position Command,botDesPoseT,Pneumatics Main System Pressure,Gripper Stopper Cylinder Command,Operator Auto Align Mid Command,Jevois Packets Per Sec,Jevois Target Angle,Main Loop Call Period,Superstructure Commanded Mode,Driver Gyro Angle Lock Command,Drivetrain Right Motor Command,roboRIO Sys Memory Load,Line Follower Estimated Position,Gripper Main Cylinder Command,Line Follower Measured Position,Intake Left Motor Current,Robot Brownout,Drivetrain Gyro-Lock Rotation Command,botActPoseT,botActPoseX,botActPoseY,Jevois General Angle,Intake Right Motor Current,Battery Current Draw,Driver Compressor Enable Command,Line Follower Estimated Position Available,Driver Rotate Command,Intake Right Motor Actual Position,Intake Left Motor Actual Position,Drivetrain Left/Right Acceleration,Operator Gamepiece Grab Command,Line Follower Measured Position Available,Front Ultrasonic Sensor Voltage,Drivetrain Left Wheel Actual Speed,Drivetrain Left Motor Command,Jevois Target X Position,Battery Voltage,Gripper Retracted Switch,Superstructure Actual Mode,roboRIO JVM Memory Load,Intake Left Arm Position On Target,Arm At Desired Angle,Drivetrain Left Wheel Desired Speed,Climber Release Motor Current,Front Ultrasonic Distance Available,Front Ultrasonic Distance,Arm Actual Velocity,Main Loop Process Duration,Operator Climber Release Command,Back Ultrasonic Sensor Voltage,Arm Actual Position,roboRIO CPU Load,Drivetrain R1 Motor Current,Drivetrain R2 Motor Current,Match Time,Pneumatics Cutoff Switch State,Arm Gear Skip Count,Arm Motor Command,Drivetrain Right Wheel Desired Speed,Back Distance Available,Dataserver File Logger Queue Length,Intake Roller Motor Command,Driver Intake Speed Command,Intake Right Arm Position On Target,Operator Auto Align Low Command,Gripper Position Requested,Drivetrain Operation Mode,Drivetrain Fwd/Rev Acceleration,Intake Ball Present,Intake At Forward Limit,Gripper Position Stable,Robot CAN Bus Utilization,Operator Climber Release Enable Command,Drivetrain Right Wheel Actual Speed,Dataserver Stored Samples,Operator Auto Align Top Command,Jevois CPU Load,Operator Gamepiece Release Command,Jevois Target Y Position,Arm Desired Position,Intake Left Sensor Raw Voltage,Operator Manual Arm Position Command,Superstructure Sequencer Step,Jevois CPU Temp,
sec,sec,A,Deg,A,Deg,bool,speed enum,ft,bool,count,ft,g,cmd,Arm Pos Enum,V,Deg,bool,A,A,deg per sec,bool,bool,Intake Pos Enum,ft,ft,fps,pos enum,Deg,psi,bool,bool,pps,rad,sec,OpMode,bool,cmd,Pct,ft,bool,ft,A,bool,cmd,Deg,ft,ft,Deg,A,A,bool,bool,cmd,deg,deg,g,bool,bool,mV,RPM,cmd,ft,V,bool,OpMode,Pct,bool,bool,RPM,A,true/false,ft,deg per sec,sec,bool,mV,Deg,Pct,A,A,sec,bool,count,cmd,RPM,true/false,count,cmd,speed enum,bool,bool,pos,Op Mode Enum,g,bool,bool,bool,pct,bool,RPM,count,bool,pct,bool,ft,Deg,V,cmd,idx,C,
700.683382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0595419999999649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700.787174,,0.125,-1.0,0.0,,0.0,0.0,4.8913558530183705,,,5.537484737532796,1.015625,0.0,-1.0,0.933019687649355,-167.50116250000002,0.0,10.0625,0.125,0.0,0.0,0.0,1.0,1.25,3.0,,1.0,0.0,-11.194430357142858,1.0,0.0,,,0.10379199999999855,0.0,0.0,0.0,,-0.33333333,0.0,0.0,0.0,0.0,0.0,-167.50061250000002,10.012568648694613,3.544410043933022,,0.0,0.0,0.0,0.0,0.0,-0.8671995165884132,-0.3657687428826882,0.11328125,0.0,0.0,1489.25766,0.0,0.0,,12.200000000000001,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,4.8913558530183705,-1.600000262260437,0.04548699999998007,0.0,1688.2322490000001,-38.68596649169922,,0.125,0.125,135.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,1.0,0.0,3.0,0.0,0.01171875,0.0,0.0,1.0,0.38136017322540283,0.0,0.0,0.0,0.0,,0.0,,-38.5145378112793,0.14658032508033197,-0.0,-1.0,,
700.849223,,,,,,0.0,0.0,4.890020875984249,,,5.526804921259829,,0.0,-1.0,0.933047575682929,,0.0,,0.15625,0.0,0.0,0.0,1.0,,,,1.0,,,1.0,0.0,,,0.0620490000000018,0.0,0.0,,,-0.33333333,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,-0.6151332942197651,0.3479628152693094,,0.0,0.0,1490.478363,,,,,0.0,0.0,,1.0,1.0,,,0.0,4.890020875984249,-1.600000262260437,,0.0,1678.466625,-38.80025100708008,,,,,,0.0,-0.0010376293221839045,,0.0,,0.0,0.0,1.0,0.0,3.0,,,0.0,0.0,1.0,,0.0,,,0.0,,0.0,,-38.5145378112793,0.1469146773170652,-0.0,-1.0,,
700.891782,700.776259,,,,0.0,,,,0.0,6198.0,,,,,,,,,,,,,,,,7.2,,,,,,6.878004828363925,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6,,0.0,,,,,45.0,
700.849223,,0.125,-1.0,0.0,,,,,,,,0.9609375,,,,-167.51861250000002,,10.28125,,,,,,1.25,3.0,,,0.0,-11.194430357142858,,,,,,,,0.0,,,,,0.0,0.0,0.0,-167.52166250000002,10.012568648694613,3.544410043933022,,0.0,0.0,,,,,,-0.015625,,,,0.0,0.0,,12.25,,,,,,0.0,0.0,,,,0.06980099999998401,,,,,0.125,0.125,135.0,0.0,,,0.0,,54.0,,,,,,0.0,-0.04296875,,,,0.38136017322540283,,0.0,0.0,,,,,,,,,,
700.935355,,0.125,-1.0,0.0,,0.0,0.0,4.887350921916009,,,5.522799990157466,1.03515625,0.0,-1.0,0.9335712695126828,-167.52277500000002,0.0,10.1875,0.1875,0.0,0.0,0.0,1.0,1.25,3.0,,1.0,0.0,-11.260485714285712,1.0,0.0,,,0.08613199999990684,0.0,0.0,0.0,,-0.33333333,0.0,0.0,0.0,0.0,0.0,-167.5213125,10.012420620597112,3.545078952265961,,0.0,0.0,0.0,0.0,0.0,-0.5312104762902653,-0.34318905231726066,-0.01953125,0.0,0.0,1489.25766,0.0,0.0,,12.200000000000001,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,4.887350921916009,-1.8285715579986572,0.05834600000002865,0.0,1683.349437,-38.971675872802734,,0.125,0.125,135.0,0.0,0.0,-0.0015259254737998596,0.0,0.0,37.0,0.0,0.0,1.0,0.0,3.0,0.0,-0.05859375,0.0,0.0,1.0,0.38136017322540283,0.0,-0.4166666666666667,0.0,0.0,,0.0,,-38.5145378112793,0.1469146773170652,-0.0,-1.0,,
701.005858,,,,,,0.0,0.0,,,,5.518795059055104,,0.0,-1.0,,,0.0,,0.5,0.0,0.0,0.0,,,,,1.0,,,1.0,0.0,,,0.07050300000003062,0.0,0.0,,,-0.33333333,,0.0,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,1492.919769,,,,,0.0,0.0,,,1.0,,,0.0,4.8913558530183705,-1.6000001430511475,,0.0,1684.5701400000003,-38.971675872802734,,,,,,0.0,-0.04608294930875576,,0.0,,,0.0,,0.0,3.0,,,,,1.0,,0.0,,,0.0,,0.0,,-38.5145378112793,,-0.0,-1.0,,
701.020161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.910238723608444,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701.005858,,,,,,,,4.8913558530183705,,,,,,,0.933019687649355,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-0.6151332942197651,-0.35637355313345526,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,0.0,0.0,,,,,,,,,,,0.1469146773170652,,,,
